Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi,macd,macd_signal,macd_diff,sma_10,sma_30,daily_return,volatility_10,bb_high,bb_low
2025-06-30 00:00:00-04:00,493.1013206195562,496.79184348109624,491.404849352638,493.4683837890625,28369000,0.0,0.0,,,,,,,,,,
2025-07-01 00:00:00-04:00,492.53583641461546,494.10330273882704,487.08935037246306,488.1508483886719,19945400,0.0,0.0,,,,,,,-0.010775838078136424,,,
2025-07-02 00:00:00-04:00,486.107196925814,489.5893925672679,484.82744098086494,487.198486328125,16319600,0.0,0.0,,,,,,,-0.001950958527861868,,,
2025-07-03 00:00:00-04:00,489.8969147231798,496.1668406146565,489.5298515465148,494.8870544433594,13984800,0.0,0.0,,,,,,,0.015781182271687566,,,
2025-07-07 00:00:00-04:00,493.4386378219278,494.7977767455099,491.3056810299541,493.77593994140625,13981600,0.0,0.0,,,,,,,-0.0022451880524595458,,,
2025-07-08 00:00:00-04:00,493.2997134401056,494.25212791462184,490.1945116420166,492.68463134765625,11846600,0.0,0.0,,,,,,,-0.00221012914051566,,,
2025-07-09 00:00:00-04:00,496.3354652236218,502.76412671878114,495.77990524850594,499.5200500488281,18659500,0.0,0.0,,,,,,,0.013873821642202966,,,
2025-07-10 00:00:00-04:00,499.06366987607214,500.4426696344743,493.8056807647675,497.5061340332031,16492100,0.0,0.0,,,,,,,-0.004031702061665254,,,
2025-07-11 00:00:00-04:00,494.5199698227688,501.0279839194423,493.85526578992295,499.33154296875,16459500,0.0,0.0,,,,,,,0.0036691184503567786,,,
2025-07-14 00:00:00-04:00,497.5458219138798,499.9764196247383,497.0597144820079,499.033935546875,12058800,0.0,0.0,,,,,494.5557006835937,,-0.0005960116601197996,,,
2025-07-15 00:00:00-04:00,499.03393728805895,504.2720960834484,498.80577924001653,501.811767578125,14927200,0.0,0.0,,,,,495.3900390625,,0.005566419101750819,0.008187126282350644,,
2025-07-16 00:00:00-04:00,501.17679603649344,502.70460109528983,497.9128887743687,501.6133117675781,15154400,0.0,0.0,,,,,496.7362854003906,,-0.0003954785905174729,0.007000500548589193,,
2025-07-17 00:00:00-04:00,501.6728265840105,509.3018910459136,501.6133044647972,507.6451416015625,17503100,0.0,0.0,,,,,498.78095092773435,,0.012024859971776936,0.007345168810150907,,
2025-07-18 00:00:00-04:00,510.4030974050004,510.5618634291492,503.408975684423,506.0082092285156,21209700,0.0,0.0,70.31430525964393,,,,499.89306640625,,-0.0032245603058123073,0.006397061600488875,,
2025-07-21 00:00:00-04:00,502.69466780228106,508.0320701704435,501.5438563610087,506.01812744140625,14066800,0.0,0.0,70.3275556370245,,,,501.11728515625,,1.960089324581915e-05,0.006259107126344963,,
2025-07-22 00:00:00-04:00,506.92095727911294,507.1491456054249,501.26611328125,501.26611328125,13868600,0.0,0.0,57.16253623841168,,,,501.9754333496094,,-0.009390995900055987,0.007197261015249564,,
2025-07-23 00:00:00-04:00,502.7343595827018,502.7740510878013,496.7323137246232,501.861328125,16396600,0.0,0.0,58.21757954371299,,,,502.2095611572266,,0.0011874228637833717,0.005806876251830863,,
2025-07-24 00:00:00-04:00,504.73833906736274,509.5995039044367,503.27998658866585,506.8316345214844,16107000,0.0,0.0,65.79369795878463,,,,503.14211120605466,,0.00990374455639742,0.006257708414536819,,
2025-07-25 00:00:00-04:00,508.409026924469,514.1829150146133,506.3157616392057,509.6392517089844,19125700,0.0,0.0,69.19195843571332,,,,504.1728820800781,,0.005539546066714474,0.0063445964451884895,,
2025-07-28 00:00:00-04:00,510.0063394772861,510.91903225038106,506.0776975472671,508.4388427734375,14308000,0.0,0.0,66.16534383703038,,,,505.1133728027344,,-0.0023554091085439266,0.006450057575706729,512.6808525027218,486.98822098360637
2025-07-29 00:00:00-04:00,511.4448362580723,513.5182406496896,507.50626407616875,508.5082702636719,16469200,0.0,0.0,66.25727623021774,,,,505.78302307128905,,0.0001365503269885604,0.006333441915599638,513.613694867681,487.55936726610804
2025-07-30 00:00:00-04:00,511.0876726596135,511.8615208479224,505.40309770511885,509.1729736328125,26380400,0.0,0.0,67.1768120580351,,,,506.5389892578125,,0.0013071633403247684,0.006304286482220656,513.8484463787752,489.426828279428
2025-07-31 00:00:00-04:00,550.8301225339796,551.0484106553389,527.6850421089878,529.2723388671875,51617300,0.0,0.0,82.60946532213313,,,,508.701708984375,,0.039474532772176385,0.013386677351566414,519.3117922634757,488.1708676486337
2025-08-01 00:00:00-04:00,530.7605061500977,531.5541546097426,516.7325410439772,519.956787109375,28977600,0.0,0.0,66.90774736315035,,,,510.09656677246096,,-0.017600677522182195,0.014959295012021886,521.5194331560009,488.47020002271
2025-08-04 00:00:00-04:00,524.0838536533402,533.9847498429226,523.9449485218581,531.3954467773438,25349000,0.0,0.0,73.55463289725448,,,,512.6342987060547,,0.021999250613806476,0.016074897846654716,526.1925384466778,487.5590454156269
2025-08-05 00:00:00-04:00,532.9232605080902,533.0423047576313,523.0620248277625,523.5679931640625,19171600,0.0,0.0,64.0708348210792,7.3426546483821085,,,514.8644866943359,,-0.014729997520210203,0.01668384906595181,527.8890890274755,488.9508310164698
2025-08-06 00:00:00-04:00,526.6930052823053,527.4866537198485,519.8774501718309,520.7802124023438,21355700,0.0,0.0,61.051631648998104,7.228391603019418,,,516.7563751220703,,-0.005324582094622388,0.016951848261618847,529.2121477342289,489.753788545068
2025-08-07 00:00:00-04:00,522.6254396329194,523.9052559727172,513.4487398823029,516.7127075195312,16079100,0.0,0.0,56.842799874016066,6.732021116963722,,,517.744482421875,,-0.007810405975390733,0.017171337786840525,529.6088001489127,491.277793479017
2025-08-08 00:00:00-04:00,518.4587582353118,520.502431840537,515.2940341981842,517.9031982421875,15531000,0.0,0.0,57.76063420236789,6.361376593035516,,,518.5708770751953,,0.0023039702823861585,0.017128995026058625,530.0882698665351,492.6554892887383
2025-08-11 00:00:00-04:00,518.1611446296885,523.4092640243366,515.6015722772428,517.6353759765625,20194400,0.0,0.0,57.464549215267176,5.97712652497313,,,519.4905303955078,506.38653462727865,-0.0005171280396297773,0.01708997891439564,530.3087401643376,494.2951630339047
2025-08-12 00:00:00-04:00,519.5997169841131,526.7724058726347,518.5580494708657,525.0462036132812,18667000,0.0,0.0,63.100977792854216,6.199137633266787,,,521.1443237304687,507.4391286214193,0.014316694686365983,0.01750836759914922,531.610861722349,495.3164850794087
2025-08-13 00:00:00-04:00,527.8934364066101,528.4787877679453,515.2544004746543,516.454833984375,19619200,0.0,0.0,54.14360742537867,5.6170810937748,,,521.872509765625,508.3825948079427,-0.016363073515781812,0.0185945269444812,531.5499396143738,496.8615594090637
2025-08-14 00:00:00-04:00,518.4190436500928,521.7821945996749,516.0182375574066,518.3396606445312,20269100,0.0,0.0,55.631636935290125,5.247398113002646,,,520.7792419433594,509.42063395182294,0.003649547910346884,0.013129203891285059,531.9010911859813,497.579859741753
2025-08-15 00:00:00-04:00,518.6274679925785,521.9310366989816,514.9667059909838,516.0480346679688,25213300,0.0,0.0,53.364282896234215,4.7151532710992115,5.930963344648217,-1.2158100735490054,520.3883666992188,510.1259999593099,-0.0044210893947667085,0.012003220498217549,531.932889094395,498.55204437728463
2025-08-18 00:00:00-04:00,517.4567900842618,518.6770238166106,509.9467697824549,513.0023193359375,23760600,0.0,0.0,50.42287431613815,4.0014553397467125,5.545061743667916,-1.5436064039212036,518.5490539550781,510.7668792724609,-0.005901999673326719,0.009013744907833673,531.7802023330676,499.40315032806535
